ROWID,ORDERID,ORDERDATE,ORDERPRIOTORITY,ORDERQUANTITY,SALES,DISCOUNT,SHIPMODE,PROFIT,UNITPRICE,SHIPPINGCOSTS,CUSTOMERNAME,PROVINCE,REGION,CUSTOMERSEGMENT,PRODUCTCATEGORY,PRODUCTSUBCATEGORY,PRODUCTNAME,PRODUCTCONTAINER,PRODUCTBASEMARGIN,SHIPDATE,DATASET,ORDER_YEAR,ORDER_MONTH,SHIP_YEAR,SHIP_MONTH
7433,52999,2022-04-25,Not Specified,39,343.05,0.05,Regular Air,95.8942,9.11,2.15,Eugene Hildebrand,Ontario,Ontario,Home Office,Office Supplies,Paper,"Black Print Carbonless Snap-OffÂ Rapid Letter, 8 1/2"" x 7""",Wrap Bag,0.388,2022-04-27,Superstore,2022,4,2022,4
7434,52999,2022-04-25,Not Specified,7,44.63,0.1,Regular Air,-20.5543,5.78,5.67,Eugene Hildebrand,Ontario,Ontario,Home Office,Office Supplies,Paper,Xerox 1978,Small Box,0.3491999999999999,2022-04-25,Superstore,2022,4,2022,4
7463,53254,2019-08-18,Medium,34,5442.142,0.0,Regular Air,1591.091,175.99,4.99,Noel Staavos,Ontario,Ontario,Home Office,Technology,Telephones and Communication,5165,Small Box,0.5722999999999999,2019-08-21,Superstore,2019,8,2019,8
7464,53281,2019-04-02,Critical,40,14075.99,0.08,Delivery Truck,2007.7884,355.98,58.92,Philip Brown,Ontario,Ontario,Corporate,Furniture,Chairs & Chairmats,Hon 4700 Series MobuisÈ Mid-Back Task Chairs with Adjustable Arms,Jumbo Drum,0.6784,2019-04-04,Superstore,2019,4,2019,4
7466,53285,2022-05-24,Critical,6,1042.96,0.04,Regular Air,158.886,165.98,19.99,Eudokia Martin,Ontario,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,GBC DocuBind P100 Manual Binding Machine,Small Box,0.388,2022-05-26,Superstore,2022,5,2022,5
7467,53312,2019-07-04,Medium,23,8413.23,0.05,Regular Air,2390.8075,363.25,19.99,Edward Nazzal,Ontario,Ontario,Home Office,Office Supplies,Appliances,Hoover WindTunnelÈ Plus Canister Vacuum,Small Box,0.5529,2019-07-06,Superstore,2019,7,2019,7
7468,53312,2019-07-04,Medium,30,105.45,0.06,Regular Air,-168.1592,3.34,7.49,Edward Nazzal,Ontario,Ontario,Home Office,Office Supplies,Pens & Art Supplies,"Eldon SpacemakerÂ Box, Quick-Snap Lid, Clear",Wrap Bag,0.5238,2019-07-05,Superstore,2019,7,2019,7
7514,53637,2021-03-17,High,12,451.09,0.1,Express Air,53.3049,39.98,9.83,Erin Ashbrook,Ontario,Ontario,Consumer,Office Supplies,Envelopes,"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Small Box,0.348,2021-03-18,Superstore,2021,3,2021,3
7521,53698,2022-06-16,Medium,10,55.33,0.0,Express Air,11.6406,4.84,0.71,Tamara Chand,Ontario,Ontario,Consumer,Office Supplies,Pens & Art Supplies,*Staples* Highlighting Markers,Wrap Bag,0.4524,2022-06-17,Superstore,2022,6,2022,6
7577,54183,2022-04-15,Critical,32,2773.71,0.02,Express Air,1163.085,82.99,5.5,Mike Caudle,Ontario,Ontario,Corporate,Technology,Computer Peripherals,"Micro Innovations Micro Digital Wireless Keyboard and Mouse, Gray",Small Box,0.4664,2022-04-17,Superstore,2022,4,2022,4
7578,54183,2022-04-15,Critical,9,113.89,0.02,Regular Air,-55.385000000000005,11.66,8.99,Mike Caudle,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Small Pack,0.6254,2022-04-16,Superstore,2022,4,2022,4
7583,54245,2021-03-24,Medium,5,83.3,0.09,Regular Air,-121.8046,20.99,2.5,Cari MacIntyre,Ontario,Ontario,Corporate,Technology,Telephones and Communication,Accessory37,Wrap Bag,0.8586000000000001,2021-03-25,Superstore,2021,3,2021,3
7592,54339,2022-05-02,Low,48,3005.74,0.02,Express Air,1116.4026,59.98,3.99,Alan Hwang,Ontario,Ontario,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Small Box,0.6042,2022-05-09,Superstore,2022,5,2022,5
7593,54339,2022-05-02,Low,41,2209.5155,0.06,Regular Air,486.1372,65.99,5.31,Alan Hwang,Ontario,Ontario,Corporate,Technology,Telephones and Communication,3390,Small Box,0.6042,2022-05-07,Superstore,2022,5,2022,5
7603,54401,2021-12-04,High,34,670.02,0.07,Regular Air,270.2226,20.98,1.49,Dave Hallsten,Ontario,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Avery Legal 4-Ring Binder,Small Box,0.3394999999999999,2021-12-06,Superstore,2021,12,2021,12
7626,54563,2020-10-04,Critical,24,523.56,0.01,Regular Air,42.5539,20.24,8.99,Fred Hopkins,Ontario,Ontario,Home Office,Furniture,Office Furnishings,"DAX Metal Frame, Desktop, Stepped-Edge",Small Pack,0.4462,2020-10-06,Superstore,2020,10,2020,10
7639,54694,2019-09-19,Critical,43,112.63,0.08,Regular Air,-175.392,2.66,6.35,Jonathan Howell,Ontario,Ontario,Consumer,Office Supplies,Envelopes,Letter or Legal Size Expandable Poly String Tie Envelopes,Small Box,0.3132,2019-09-19,Superstore,2019,9,2019,9
7643,54755,2019-12-07,Critical,44,3421.88,0.0,Regular Air,430.2144,73.98,4.0,Matt Collister,Ontario,Ontario,Home Office,Technology,Computer Peripherals,Keytronic 105-Key Spanish Keyboard,Small Box,0.7469,2019-12-10,Superstore,2019,12,2019,12
7659,54914,2021-08-28,Critical,32,197.93,0.06,Regular Air,-57.64,5.98,5.46,Duane Huffman,Ontario,Ontario,Small Business,Office Supplies,Paper,Xerox 1983,Small Box,0.36,2021-08-29,Superstore,2021,8,2021,8
7660,54914,2021-08-28,Critical,7,90.58,0.06,Regular Air,-27.83,12.44,6.27,Duane Huffman,Ontario,Ontario,Small Business,Office Supplies,Storage & Organization,Eldon SimplefileÂ Box OfficeÂ,Medium Box,0.57,2021-08-30,Superstore,2021,8,2021,8
7684,55073,2022-03-20,Low,40,2376.7105,0.01,Regular Air,765.1186,65.99,3.99,Kelly Lampkin,Ontario,Ontario,Corporate,Technology,Telephones and Communication,TIMEPORT P8767,Small Box,0.6042,2022-03-20,Superstore,2022,3,2022,3
7712,55270,2020-01-22,Medium,1,35.14,0.02,Regular Air,-12.3675,29.17,6.27,Edward Nazzal,Ontario,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Binding Machine Supplies,Small Box,0.3589,2020-01-23,Superstore,2020,1,2020,1
7788,55716,2022-10-22,High,9,14665.55,0.07,Regular Air,-744.4847,1637.53,24.49,Philip Brown,Ontario,Ontario,Home Office,Office Supplies,"Scissors, Rulers and Trimmers",High Speed Automatic Electric Letter Opener,Medium Box,0.7857000000000001,2022-10-23,Superstore,2022,10,2022,10
7795,55776,2019-03-22,Not Specified,32,4856.1,0.01,Delivery Truck,1162.4384000000002,145.45,17.85,Dean Braden,Ontario,Ontario,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.5936000000000001,2019-03-23,Superstore,2019,3,2019,3
7810,55874,2019-02-16,Medium,28,208.83,0.0,Regular Air,-60.15,7.1,6.05,Erica Smith,Ontario,Ontario,Small Business,Office Supplies,Binders and Binder Accessories,"Wilson Jones Hanging View Binder, White, 1""",Small Box,0.39,2019-02-17,Superstore,2019,2,2019,2
7811,55874,2019-02-16,Medium,41,228.3,0.01,Express Air,-111.72,4.98,4.62,Erica Smith,Ontario,Ontario,Small Business,Technology,Computer Peripherals,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.64,2019-02-18,Superstore,2019,2,2019,2
7831,56002,2019-07-04,Low,21,514.53,0.04,Regular Air,158.26860000000002,23.99,6.71,Dave Hallsten,Ontario,Ontario,Corporate,Office Supplies,Envelopes,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Small Box,0.371,2019-07-06,Superstore,2019,7,2019,7
7832,56002,2019-07-04,Low,14,748.84,0.09,Regular Air,303.902,55.98,4.86,Dave Hallsten,Ontario,Ontario,Corporate,Office Supplies,Paper,Xerox 1908,Small Box,0.3816,2019-07-08,Superstore,2019,7,2019,7
7833,56002,2019-07-04,Low,9,1497.93,0.05,Regular Air,37.4286,161.55,19.99,Dave Hallsten,Ontario,Ontario,Corporate,Office Supplies,Storage & Organization,Fellowes Super Stor/DrawerÂ Files,Small Box,0.6996000000000001,2019-07-11,Superstore,2019,7,2019,7
7834,56002,2019-07-04,Low,14,3857.56,0.07,Regular Air,-400.4786,290.98,69.0,Dave Hallsten,Ontario,Ontario,Corporate,Furniture,Tables,Hon 5100 Series Wood Tables,Large Box,0.7102,2019-07-06,Superstore,2019,7,2019,7
7840,56039,2021-11-25,Low,23,156.66,0.07,Regular Air,-33.15,6.68,5.2,Erica Smith,Ontario,Ontario,Small Business,Office Supplies,Paper,Xerox 1977,Small Box,0.37,2021-11-30,Superstore,2021,11,2021,11
7936,56710,2020-05-11,Not Specified,34,479.84,0.02,Regular Air,4.9677,13.43,5.5,Jim Mitchum,Ontario,Ontario,Consumer,Office Supplies,Storage & Organization,"Fellowes Personal Hanging Folder Files, Navy",Small Box,0.4958999999999999,2020-05-12,Superstore,2020,5,2020,5
7937,56710,2020-05-11,Not Specified,16,833.9265,0.08,Regular Air,-34.1214,65.99,3.99,Jim Mitchum,Ontario,Ontario,Consumer,Technology,Telephones and Communication,StarTAC 7760,Small Box,0.5133,2020-05-12,Superstore,2020,5,2020,5
7938,56710,2020-05-11,Not Specified,6,182.64,0.08,Regular Air,-86.33879999999999,30.98,6.5,Jim Mitchum,Ontario,Ontario,Consumer,Technology,Computer Peripherals,Belkin ErgoBoardÈ Keyboard,Small Box,0.5568,2020-05-13,Superstore,2020,5,2020,5
7939,56710,2020-05-11,Not Specified,21,736.17,0.01,Regular Air,202.7013,35.41,1.99,Jim Mitchum,Ontario,Ontario,Consumer,Technology,Computer Peripherals,Imation DVD-RAM discs,Small Pack,0.3741,2020-05-13,Superstore,2020,5,2020,5
7985,57092,2020-05-01,Critical,29,2820.6995,0.03,Regular Air,523.1658,110.99,8.99,David Philippe,Ontario,Ontario,Consumer,Technology,Telephones and Communication,LX 677,Small Box,0.4958999999999999,2020-05-02,Superstore,2020,5,2020,5
8011,57253,2019-01-05,Critical,43,78.08,0.08,Regular Air,1.5138,1.81,0.75,Darren Budd,Ontario,Ontario,Consumer,Furniture,Chairs & Chairmats,"Metal Folding Chairs, Beige, 4/Carton",Jumbo Drum,0.5045999999999999,2019-01-06,Superstore,2019,1,2019,1
8012,57253,2019-01-05,Critical,29,653.54,0.06,Delivery Truck,-1182.2430000000002,20.98,53.03,Darren Budd,Ontario,Ontario,Consumer,Furniture,Chairs & Chairmats,Hon 4700 Series MobuisÈ Mid-Back Task Chairs with Adjustable Arms,Jumbo Drum,0.5568,2019-01-07,Superstore,2019,1,2019,1
8013,57253,2019-01-05,Critical,48,12635.75,0.07,Regular Air,-291.6588,279.48,35.0,Darren Budd,Ontario,Ontario,Consumer,Furniture,Office Furnishings,Telescoping Adjustable Floor Lamp,Large Box,0.522,2019-01-05,Superstore,2019,1,2019,1
8014,57253,2019-01-05,Critical,49,240.3,0.08,Regular Air,-121.0692,4.91,5.68,Darren Budd,Ontario,Ontario,Consumer,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",Jumbo Box,0.609,2019-01-06,Superstore,2019,1,2019,1
8015,57253,2019-01-05,Critical,25,2750.107,0.04,Regular Air,580.6815,125.99,5.26,Darren Budd,Ontario,Ontario,Consumer,Technology,Telephones and Communication,232,Small Box,0.4785,2019-01-05,Superstore,2019,1,2019,1
8034,57382,2019-03-23,Medium,25,106.04,0.09,Regular Air,14.703,4.55,1.49,George Ashbrook,Ontario,Ontario,Consumer,Office Supplies,Binders and Binder Accessories,Presstex Flexible Ring Binders,Small Box,0.3045,2019-03-25,Superstore,2019,3,2019,3
8035,57382,2019-03-23,Medium,45,452.93,0.07,Express Air,17.5218,9.78,5.76,George Ashbrook,Ontario,Ontario,Consumer,Office Supplies,Envelopes,"Staples #10 Laser & Inkjet Envelopes, 4 1/8"" x 9 1/2"", 100/Box",Small Box,0.3045,2019-03-25,Superstore,2019,3,2019,3
8039,57415,2019-03-24,Medium,6,101.52,0.02,Regular Air,-14.2419,15.42,5.41,Tamara Chand,Ontario,Ontario,Consumer,Office Supplies,Storage & Organization,Decoflex Hanging Personal Folder File,Small Box,0.5133,2019-03-25,Superstore,2019,3,2019,3
8077,57606,2020-01-03,Not Specified,37,294.48,0.08,Regular Air,-55.8888,8.46,3.62,Darren Budd,Ontario,Ontario,Consumer,Technology,Computer Peripherals,"Imation 3.5"", RTS 247544 3M 3.5 DSDD, 10/Pack",Small Pack,0.5307,2020-01-04,Superstore,2020,1,2020,1
8099,57794,2019-07-26,Low,16,88.84,0.02,Regular Air,-45.5124,4.98,6.07,Edward Becker,Ontario,Ontario,Home Office,Office Supplies,Paper,Xerox 1897,Small Box,0.3491999999999999,2019-07-28,Superstore,2019,7,2019,7
8123,58054,2021-01-04,High,26,61.4,0.04,Regular Air,-80.1357,2.08,5.33,David Philippe,Ontario,Ontario,Consumer,Furniture,Office Furnishings,EldonÂ Wave Desk Accessories,Small Box,0.3741,2021-01-04,Superstore,2021,1,2021,1
8129,58113,2022-02-01,High,48,362.71,0.07,Regular Air,-88.95,7.68,6.16,Anemone Ratner,Ontario,Ontario,Small Business,Office Supplies,Binders and Binder Accessories,GBC VeloBinder Strips,Small Box,0.35,2022-02-03,Superstore,2022,2,2022,2
8130,58113,2022-02-01,High,12,2077.1875,0.05,Express Air,-38.07,200.99,4.2,Anemone Ratner,Ontario,Ontario,Small Business,Technology,Telephones and Communication,2160i,Small Box,0.59,2022-02-03,Superstore,2022,2,2022,2
8186,58528,2020-10-27,Medium,14,700.95,0.0,Regular Air,247.82800000000003,46.89,5.1,Janet Martin,Ontario,Ontario,Corporate,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,Medium Box,0.4876,2020-10-28,Superstore,2020,10,2020,10
8187,58528,2020-10-27,Medium,41,159.74,0.08,Express Air,-9.6884,3.69,2.5,Janet Martin,Ontario,Ontario,Corporate,Office Supplies,Envelopes,Colored Envelopes,Small Box,0.4134,2020-10-28,Superstore,2020,10,2020,10
8193,58598,2021-08-22,Medium,50,13608.83,0.1,Delivery Truck,1302.6421,300.98,64.73,Edward Nazzal,Ontario,Ontario,Home Office,Furniture,Chairs & Chairmats,"Global Leather and Oak Executive Chair, Black",Jumbo Drum,0.5432,2021-08-23,Superstore,2021,8,2021,8
8194,58598,2021-08-22,Medium,25,89.32,0.01,Regular Air,32.4562,3.41,0.7,Edward Nazzal,Ontario,Ontario,Home Office,Office Supplies,Rubber Bands,Advantus SlideClipÈ Paper Clips,Wrap Bag,0.3589,2021-08-23,Superstore,2021,8,2021,8
8231,58851,2020-06-07,Low,3,23.93,0.1,Regular Air,-6.7734,8.34,0.96,Alan Hwang,Ontario,Ontario,Corporate,Furniture,Office Furnishings,Document Clip Frames,Wrap Bag,0.4558,2020-06-11,Superstore,2020,6,2020,6
8232,58851,2020-06-07,Low,14,2027.55,0.04,Regular Air,569.644,140.99,13.99,Alan Hwang,Ontario,Ontario,Corporate,Technology,Office Machines,Canon MP100DHII Printing Calculator,Medium Box,0.3922,2020-06-14,Superstore,2020,6,2020,6
8233,58853,2022-05-13,Critical,27,5307.5,0.09,Delivery Truck,1083.1699,200.98,23.76,Eugene Hildebrand,Ontario,Ontario,Home Office,Furniture,Chairs & Chairmats,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",Jumbo Drum,0.5626,2022-05-14,Superstore,2022,5,2022,5
8252,59015,2022-05-26,Medium,32,254.46,0.09,Regular Air,23.5,8.5,1.99,Andrew Roberts,Ontario,Ontario,Small Business,Technology,Computer Peripherals,Hewlett-Packard 4.7GB DVD+R Discs,Small Pack,0.49,2022-05-27,Superstore,2022,5,2022,5
8253,59015,2022-05-26,Medium,32,278.19,0.02,Regular Air,149.39,8.34,0.96,Andrew Roberts,Ontario,Ontario,Small Business,Furniture,Office Furnishings,Document Clip Frames,Wrap Bag,0.43,2022-05-27,Superstore,2022,5,2022,5
8254,59015,2022-05-26,Medium,32,1662.33,0.02,Regular Air,783.84,48.91,5.81,Andrew Roberts,Ontario,Ontario,Small Business,Office Supplies,Paper,Xerox 1891,Small Box,0.38,2022-05-28,Superstore,2022,5,2022,5
8264,59075,2022-02-26,Low,38,425.91,0.02,Regular Air,55.06,11.19,5.03,David Smith,Ontario,Ontario,Small Business,Office Supplies,Paper,"Geographics Note Cards, Blank, White, 8 1/2"" x 11""",Small Box,0.37,2022-02-28,Superstore,2022,2,2022,2
8269,59108,2021-10-07,Low,21,68.53,0.09,Regular Air,-63.5682,3.28,3.97,Edward Becker,Ontario,Ontario,Corporate,Office Supplies,Pens & Art Supplies,Newell 342,Wrap Bag,0.5936000000000001,2021-10-12,Superstore,2021,10,2021,10
8270,59108,2021-10-07,Low,39,4215.83,0.02,Regular Air,1030.5214,125.99,8.99,Edward Becker,Ontario,Ontario,Corporate,Technology,Telephones and Communication,M70,Small Box,0.6254,2021-10-16,Superstore,2021,10,2021,10
8339,59589,2022-04-11,Medium,25,1610.26,0.06,Regular Air,118.7474,64.98,6.88,Magdelene Morse,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Fellowes Bankers BoxÈ StaxonsteelÂ Drawer File/Stacking System,Small Box,0.7081,2022-04-11,Superstore,2022,4,2022,4
8354,59685,2022-12-10,Critical,12,505.2,0.05,Regular Air,68.71260000000001,40.98,5.33,Jim Mitchum,Ontario,Ontario,Consumer,Office Supplies,Appliances,Belkin 8 Outlet Surge Protector,Small Box,0.4958999999999999,2022-12-12,Superstore,2022,12,2022,12
8355,59685,2022-12-10,Critical,46,562.91,0.1,Regular Air,-487.4523,12.99,14.37,Jim Mitchum,Ontario,Ontario,Consumer,Furniture,Office Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Large Box,0.6351,2022-12-11,Superstore,2022,12,2022,12
8377,59845,2019-12-22,Low,42,200.1,0.04,Regular Air,2.6274,4.71,0.7,Ed Ludwig,Ontario,Ontario,Consumer,Office Supplies,Rubber Bands,Plymouth Boxed Rubber Bands by Plymouth,Wrap Bag,0.6960000000000001,2019-12-26,Superstore,2019,12,2019,12
8378,59845,2019-12-22,Low,28,120.54,0.06,Regular Air,5.6724,4.2,2.26,Ed Ludwig,Ontario,Ontario,Consumer,Office Supplies,Paper,"Important Message Pads, 50 4-1/4 x 5-1/2 Forms per Pad",Wrap Bag,0.3132,2019-12-27,Superstore,2019,12,2019,12
24,134,2022-04-30,Not Specified,11,1132.6,0.01,Regular Air,-300.9037,95.99,35.0,Michael Dominguez,Ontario,Ontario,Home Office,Office Supplies,Storage & Organization,Safco Industrial Wire Shelving,Large Box,,2022-05-02,Superstore,2022,4,2022,5
114,740,2021-07-15,Medium,6,28.01,0.09,Regular Air,3.6676,4.98,0.49,Thomas Boland,Ontario,Ontario,Corporate,Office Supplies,Labels,Avery White Multi-Purpose Labels,Small Box,0.4134,2021-07-15,Superstore,2021,7,2021,7
130,833,2019-02-12,Medium,1,19.32,0.03,Regular Air,-19.7104,12.53,7.17,Olvera Toch,Ontario,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,GBC ProClick Spines for 32-Hole Punch,Small Box,0.3686,2019-02-13,Superstore,2019,2,2019,2
234,1573,2022-12-27,High,13,759.94,0.09,Delivery Truck,-226.45,60.89,32.41,Lena Radford,Ontario,Ontario,Small Business,Furniture,Chairs & Chairmats,"Global Push Button Manager's Chair, Indigo",Jumbo Drum,0.56,2022-12-28,Superstore,2022,12,2022,12
243,1639,2021-08-19,Not Specified,24,163.14,0.09,Regular Air,-60.334,6.78,6.18,Sean Christensen,Ontario,Ontario,Home Office,Office Supplies,Paper,Strathmore Photo Mount Cards,Small Box,0.3783,2021-08-20,Superstore,2021,8,2021,8
297,2053,2021-02-06,Critical,39,19342.84,0.01,Delivery Truck,4875.4365,500.98,126.0,Todd Boyes,Ontario,Ontario,Consumer,Furniture,Chairs & Chairmats,Global TroyÈ Executive Leather Low-Back Tilter,Jumbo Drum,0.522,2021-02-07,Superstore,2021,2,2021,2
298,2053,2021-02-06,Critical,7,771.783,0.08,Regular Air,-391.0911,140.99,4.2,Todd Boyes,Ontario,Ontario,Consumer,Technology,Telephones and Communication,7160,Small Box,0.5133,2021-02-08,Superstore,2021,2,2021,2
307,2146,2022-09-13,Not Specified,41,6111.1685,0.06,Regular Air,1663.08,175.99,4.99,Todd Boyes,Ontario,Ontario,Small Business,Technology,Telephones and Communication,5165,Small Box,0.59,2022-09-14,Superstore,2022,9,2022,9
308,2146,2022-09-13,Not Specified,44,113.71,0.07,Regular Air,41.7,2.61,0.5,Todd Boyes,Ontario,Ontario,Small Business,Office Supplies,Labels,Avery 479,Small Box,0.39,2022-09-15,Superstore,2022,9,2022,9
396,2752,2020-11-18,High,30,695.47,0.03,Regular Air,226.73,22.98,1.99,Todd Boyes,Ontario,Ontario,Small Business,Technology,Computer Peripherals,"Memorex 80 Minute CD-R, 30/Pack",Small Pack,0.46,2020-11-20,Superstore,2020,11,2020,11
397,2752,2020-11-18,High,41,152.59,0.02,Regular Air,55.48,3.78,0.71,Todd Boyes,Ontario,Ontario,Small Business,Office Supplies,Rubber Bands,Staples Bulldog Clip,Wrap Bag,0.39,2020-11-20,Superstore,2020,11,2020,11
398,2752,2020-11-18,High,10,365.62,0.03,Regular Air,15.77,34.76,8.22,Todd Boyes,Ontario,Ontario,Small Business,Office Supplies,Storage & Organization,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Small Box,0.57,2020-11-18,Superstore,2020,11,2020,11
399,2752,2020-11-18,High,10,575.569,0.04,Regular Air,-86.52,65.99,5.63,Todd Boyes,Ontario,Ontario,Small Business,Technology,Telephones and Communication,2190,Small Box,0.56,2020-11-20,Superstore,2020,11,2020,11
760,5445,2020-07-25,Low,4,29.42,0.06,Express Air,13.9971,3.69,0.5,Michael Dominguez,Ontario,Ontario,Home Office,Office Supplies,Labels,Avery 52,Small Box,0.3686,2020-07-30,Superstore,2020,7,2020,7
761,5445,2020-07-25,Low,9,46.48,0.01,Regular Air,-1.7654,4.63,1.93,Michael Dominguez,Ontario,Ontario,Home Office,Office Supplies,Pens & Art Supplies,"Binney & Smith CrayolaÂ Metallic Colored Pencils, 8-Color Set",Wrap Bag,0.5044,2020-08-01,Superstore,2020,7,2020,8
797,5699,2022-07-29,Low,2,9.25,0.01,Regular Air,-4.21,4.13,0.99,Sean Miller,Ontario,Ontario,Small Business,Office Supplies,Labels,Avery 491,Small Box,0.39,2022-08-03,Superstore,2022,7,2022,8
798,5699,2022-07-29,Low,41,573.89,0.09,Express Air,-121.44,14.98,7.69,Sean Miller,Ontario,Ontario,Small Business,Office Supplies,Storage & Organization,Super Decoflex Portable Personal File,Small Box,0.57,2022-08-03,Superstore,2022,7,2022,8
940,6823,2019-07-21,Not Specified,50,1262.72,0.01,Regular Air,490.28,24.95,2.99,Todd Boyes,Ontario,Ontario,Small Business,Office Supplies,Binders and Binder Accessories,Large Capacity Hanging Post Binders,Small Box,0.39,2019-07-22,Superstore,2019,7,2019,7
941,6823,2019-07-21,Not Specified,31,524.19,0.0,Regular Air,-135.46,15.98,8.99,Todd Boyes,Ontario,Ontario,Small Business,Technology,Computer Peripherals,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Small Pack,0.64,2019-07-23,Superstore,2019,7,2019,7
959,6948,2020-12-09,Not Specified,15,1143.88,0.04,Regular Air,-94.022,73.98,4.0,Phillip Breyer,Ontario,Ontario,Corporate,Technology,Computer Peripherals,Keytronic French Keyboard,Small Box,0.8374,2020-12-10,Superstore,2020,12,2020,12
1027,7462,2021-02-20,High,3,72.63,0.07,Express Air,-26.94,22.01,5.53,Lena Radford,Ontario,Ontario,Small Business,Office Supplies,Pens & Art Supplies,Boston 16801 NautilusÈ Battery Pencil Sharpener,Small Pack,0.59,2021-02-21,Superstore,2021,2,2021,2
1062,7845,2019-12-13,Critical,22,118.56,0.06,Express Air,-63.38,4.91,5.68,Todd Boyes,Ontario,Ontario,Small Business,Office Supplies,Binders and Binder Accessories,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Light Blue",Small Box,0.36,2019-12-13,Superstore,2019,12,2019,12
1063,7845,2019-12-13,Critical,45,2145.05,0.07,Express Air,1012.67,48.94,5.86,Todd Boyes,Ontario,Ontario,Small Business,Office Supplies,Paper,Xerox 1916,Small Box,0.35,2019-12-14,Superstore,2019,12,2019,12
1092,8033,2022-04-24,High,27,118.18,0.06,Regular Air,-133.62,4.06,6.89,Michelle Ellison,Ontario,Ontario,Small Business,Office Supplies,Appliances,Eureka Disposable Bags for SanitaireÂ Vibra Groomer IÂ Upright Vac,Small Box,0.6,2022-04-25,Superstore,2022,4,2022,4
1150,8388,2022-02-23,Low,39,290.3,0.07,Regular Air,24.4052,7.59,4.0,Olvera Toch,Ontario,Ontario,Home Office,Furniture,Office Furnishings,"Master Giant FootÂ Doorstop, Safety Yellow",Wrap Bag,0.4074,2022-02-25,Superstore,2022,2,2022,2
1151,8388,2022-02-23,Low,37,434.11,0.02,Regular Air,24.1045,11.7,5.63,Olvera Toch,Ontario,Ontario,Home Office,Office Supplies,Binders and Binder Accessories,Fellowes Binding Cases,Small Box,0.388,2022-02-25,Superstore,2022,2,2022,2
1152,8388,2022-02-23,Low,42,288.9,0.02,Regular Air,93.4498,6.98,1.6,Olvera Toch,Ontario,Ontario,Home Office,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",Wrap Bag,0.3686,2022-02-25,Superstore,2022,2,2022,2
1334,9761,2022-01-22,Not Specified,2,202.64,0.04,Delivery Truck,-221.62,90.97,14.0,Todd Boyes,Ontario,Ontario,Small Business,Technology,Office Machines,Lexmark Z54se Color Inkjet Printer,Jumbo Drum,0.36,2022-01-23,Superstore,2022,1,2022,1
1335,9761,2022-01-22,Not Specified,23,133.69,0.08,Regular Air,-92.23,5.98,7.15,Todd Boyes,Ontario,Ontario,Small Business,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Small Box,0.36,2022-01-24,Superstore,2022,1,2022,1
1354,9863,2021-09-04,Critical,18,33.96,0.0,Regular Air,0.097,1.76,0.7,Sean Christensen,Ontario,Ontario,Home Office,Office Supplies,Pens & Art Supplies,Newell 310,Wrap Bag,0.5432,2021-09-06,Superstore,2021,9,2021,9
1432,10342,2021-11-22,Medium,45,5181.08,0.01,Delivery Truck,-1412.532,114.98,58.72,Michelle Ellison,Ontario,Ontario,Consumer,Furniture,Bookcases,"Sauder Camden County Collection Libraries, Planked Cherry Finish",Jumbo Box,0.6612,2021-11-24,Superstore,2021,11,2021,11
1433,10342,2021-11-22,Medium,38,10567.45,0.1,Regular Air,2545.0719,299.99,11.64,Michelle Ellison,Ontario,Ontario,Consumer,Technology,Copiers and Fax,Brother DCP1000 Digital 3 in 1 Multifunction Machine,Large Box,0.435,2021-11-23,Superstore,2021,11,2021,11
1434,10342,2021-11-22,Medium,38,1679.04,0.01,Regular Air,282.2889,40.97,14.45,Michelle Ellison,Ontario,Ontario,Consumer,Furniture,Office Furnishings,Dana Halogen Swing-Arm Architect Lamp,Large Box,0.4958999999999999,2021-11-24,Superstore,2021,11,2021,11
